Date,Value,Month,Year
1956-07-01,35.31,7,1956
1956-08-01,35.31,8,1956
1956-09-01,35.31,9,1956
1956-10-01,35.31,10,1956
1956-11-01,35.31,11,1956
1956-12-01,35.31,12,1956
1957-01-01,35.0,1,1957
1957-02-01,35.0,2,1957
1957-03-01,35.0,3,1957
1957-04-01,35.0,4,1957
1957-05-01,35.0,5,1957
1957-06-01,35.0,6,1957
1957-07-01,35.0,7,1957
1957-08-01,35.0,8,1957
1957-09-01,35.0,9,1957
1957-10-01,35.0,10,1957
1957-11-01,35.0,11,1957
1957-12-01,35.0,12,1957
1958-01-01,35.31,1,1958
1958-02-01,35.31,2,1958
1958-03-01,35.31,3,1958
1958-04-01,35.31,4,1958
1958-05-01,35.31,5,1958
1958-06-01,35.31,6,1958
1958-07-01,35.31,7,1958
1958-08-01,35.31,8,1958
1958-09-01,35.31,9,1958
1958-10-01,35.31,10,1958
1958-11-01,35.31,11,1958
1958-12-01,35.31,12,1958
1959-01-01,35.31,1,1959
1959-02-01,35.31,2,1959
1959-03-01,35.31,3,1959
1959-04-01,35.31,4,1959
1959-05-01,35.31,5,1959
1959-06-01,35.31,6,1959
1959-07-01,35.31,7,1959
1959-08-01,35.31,8,1959
1959-09-01,35.31,9,1959
1959-10-01,35.31,10,1959
1959-11-01,35.31,11,1959
1959-12-01,35.31,12,1959
1960-01-01,35.31,1,1960
1960-02-01,35.31,2,1960
1960-03-01,35.31,3,1960
1960-04-01,35.31,4,1960
1960-05-01,35.31,5,1960
1960-06-01,35.31,6,1960
1960-07-01,35.31,7,1960
1960-08-01,35.31,8,1960
1960-09-01,35.31,9,1960
1960-10-01,35.31,10,1960
1960-11-01,35.31,11,1960
1960-12-01,35.31,12,1960
1961-01-01,35.31,1,1961
1961-02-01,35.31,2,1961
1961-03-01,35.31,3,1961
1961-04-01,35.31,4,1961
1961-05-01,35.31,5,1961
1961-06-01,35.31,6,1961
1961-07-01,35.31,7,1961
1961-08-01,35.31,8,1961
1961-09-01,35.31,9,1961
1961-10-01,35.31,10,1961
1961-11-01,35.31,11,1961
1961-12-01,35.31,12,1961
1962-01-01,35.31,1,1962
1962-02-01,35.31,2,1962
1962-03-01,35.31,3,1962
1962-04-01,35.31,4,1962
1962-05-01,35.31,5,1962
1962-06-01,35.31,6,1962
1962-07-01,35.31,7,1962
1962-08-01,35.31,8,1962
1962-09-01,35.31,9,1962
1962-10-01,35.31,10,1962
1962-11-01,35.31,11,1962
1962-12-01,35.31,12,1962
1963-01-01,35.31,1,1963
1963-02-01,35.31,2,1963
1963-03-01,35.31,3,1963
1963-04-01,35.31,4,1963
1963-05-01,35.31,5,1963
1963-06-01,35.31,6,1963
1963-07-01,35.31,7,1963
1963-08-01,35.31,8,1963
1963-09-01,35.31,9,1963
1963-10-01,35.31,10,1963
1963-11-01,35.31,11,1963
1963-12-01,35.31,12,1963
1964-01-01,35.31,1,1964
1964-02-01,35.31,2,1964
1964-03-01,35.31,3,1964
1964-04-01,35.31,4,1964
1964-05-01,35.31,5,1964
1964-06-01,35.31,6,1964
1964-07-01,35.31,7,1964
1964-08-01,35.31,8,1964
1964-09-01,35.31,9,1964
1964-10-01,35.31,10,1964
1964-11-01,35.31,11,1964
1964-12-01,35.31,12,1964
1965-01-01,35.31,1,1965
1965-02-01,35.31,2,1965
1965-03-01,35.31,3,1965
1965-04-01,35.31,4,1965
1965-05-01,35.31,5,1965
1965-06-01,35.31,6,1965
1965-07-01,35.31,7,1965
1965-08-01,35.31,8,1965
1965-09-01,35.31,9,1965
1965-10-01,35.31,10,1965
1965-11-01,35.31,11,1965
1965-12-01,35.31,12,1965
1966-01-01,35.31,1,1966
1966-02-01,35.31,2,1966
1966-03-01,35.31,3,1966
1966-04-01,35.31,4,1966
1966-05-01,35.31,5,1966
1966-06-01,35.31,6,1966
1966-07-01,35.31,7,1966
1966-08-01,35.31,8,1966
1966-09-01,35.31,9,1966
1966-10-01,35.31,10,1966
1966-11-01,35.31,11,1966
1966-12-01,35.31,12,1966
1967-01-01,35.31,1,1967
1967-02-01,35.31,2,1967
1967-03-01,35.31,3,1967
1967-04-01,35.31,4,1967
1967-05-01,35.31,5,1967
1967-06-01,35.31,6,1967
1967-07-01,35.31,7,1967
1967-08-01,35.31,8,1967
1967-09-01,35.31,9,1967
1967-10-01,35.31,10,1967
1967-11-01,35.31,11,1967
1967-12-01,35.31,12,1967
1968-01-01,40.31,1,1968
1968-02-01,40.31,2,1968
1968-03-01,40.31,3,1968
1968-04-01,39.1,4,1968
1968-05-01,42.0,5,1968
1968-06-01,40.95,6,1968
1968-07-01,38.9,7,1968
1968-08-01,39.85,8,1968
1968-09-01,39.7,9,1968
1968-10-01,39.2,10,1968
1968-11-01,39.85,11,1968
1968-12-01,41.95,12,1968
1969-01-01,42.55,1,1969
1969-02-01,42.78,2,1969
1969-03-01,43.1,3,1969
1969-04-01,43.6,4,1969
1969-05-01,43.15,5,1969
1969-06-01,41.23,6,1969
1969-07-01,41.45,7,1969
1969-08-01,40.95,8,1969
1969-09-01,40.65,9,1969
1969-10-01,39.85,10,1969
1969-11-01,35.55,11,1969
1969-12-01,35.21,12,1969
1970-01-01,34.98,1,1970
1970-02-01,35.0,2,1970
1970-03-01,35.3,3,1970
1970-04-01,35.85,4,1970
1970-05-01,35.5,5,1970
1970-06-01,35.51,6,1970
1970-07-01,35.29,7,1970
1970-08-01,35.78,8,1970
1970-09-01,36.24,9,1970
1970-10-01,37.4,10,1970
1970-11-01,37.6,11,1970
1970-12-01,37.38,12,1970
1971-01-01,38.0,1,1971
1971-02-01,38.79,2,1971
1971-03-01,38.8,3,1971
1971-04-01,39.6,4,1971
1971-05-01,40.8,5,1971
1971-06-01,40.2,6,1971
1971-07-01,42.48,7,1971
1971-08-01,41.0,8,1971
1971-09-01,42.48,9,1971
1971-10-01,42.4,10,1971
1971-11-01,43.55,11,1971
1971-12-01,43.5,12,1971
1972-01-01,46.95,1,1972
1972-02-01,48.4,2,1972
1972-03-01,48.38,3,1972
1972-04-01,49.5,4,1972
1972-05-01,59.3,5,1972
1972-06-01,64.1,6,1972
1972-07-01,68.9,7,1972
1972-08-01,66.8,8,1972
1972-09-01,64.1,9,1972
1972-10-01,64.43,10,1972
